Dates,Blocked,END where I got to
27-05-1960 to 01-06-1960,0,
28-05-1960 to 02-06-1960,0,
29-05-1960 to 03-06-1960,0,
30-05-1960 to 04-06-1960,0,
01-06-1960 to 05-06-1960,0,
02-06-1960 to 06-06-1960,0,
03-06-1960 to 07-06-1960,0,
04-06-1960 to 08-06-1960,0,
05-06-1960 to 09-06-1960,0,
06-06-1960 to 10-06-1960,0,
07-06-1960 to 11-06-1960,0,
08-06-1960 to 12-06-1960,0,
09-06-1960 to 13-06-1960,0,
10-06-1960 to 14-06-1960,0,
11-06-1960 to 15-06-1960,0,
12-06-1960 to 16-06-1960,0,
13-06-1960 to 17-06-1960,0,
14-06-1960 to 18-06-1960,0,
15-06-1960 to 19-06-1960,0,
16-06-1960 to 20-06-1960,0,
17-06-1960 to 21-06-1960,0,
18-06-1960 to 22-06-1960,0,
19-06-1960 to 23-06-1960,0,
20-06-1960 to 24-06-1960,0,
21-06-1960 to 25-06-1960,0,
22-06-1960 to 26-06-1960,0,
23-06-1960 to 27-06-1960,0,
24-06-1960 to 28-06-1960,0,?
25-06-1960 to 29-06-1960,0,
26-06-1960 to 30-06-1960,0,
27-06-1960 to 01-07-1960,0,
28-06-1960 to 02-07-1960,0,
29-06-1960 to 03-07-1960,0,
30-06-1960 to 04-07-1960,0,
01-07-1960 to 05-07-1960,0,
02-07-1960 to 06-07-1960,0,
03-07-1960 to 07-07-1960,0,
04-07-1960 to 08-07-1960,0,
05-07-1960 to 09-07-1960,0,
06-07-1960 to 10-07-1960,0,?
07-07-1960 to 11-07-1960,0,
08-07-1960 to 12-07-1960,0,
09-07-1960 to 13-07-1960,0,
10-07-1960 to 14-07-1960,0,
11-07-1960 to 15-07-1960,0,
12-07-1960 to 16-07-1960,0,
13-07-1960 to 17-07-1960,0,
14-07-1960 to 18-07-1960,0,
15-07-1960 to 19-07-1960,0,
16-07-1960 to 20-07-1960,0,
17-07-1960 to 21-07-1960,0,
18-07-1960 to 22-07-1960,0,
19-07-1960 to 23-07-1960,0,
20-07-1960 to 24-07-1960,0,
21-07-1960 to 25-07-1960,1,?
22-07-1960 to 26-07-1960,0,
23-07-1960 to 27-07-1960,0,
24-07-1960 to 28-07-1960,0,
25-07-1960 to 29-07-1960,0,
26-07-1960 to 30-07-1960,0,
27-07-1960 to 01-08-1960,0,
28-07-1960 to 02-08-1960,0,
29-07-1960 to 03-08-1960,0,
30-07-1960 to 04-08-1960,0,
01-08-1960 to 05-08-1960,0,
02-08-1960 to 06-08-1960,1,
03-08-1960 to 07-08-1960,1,
04-08-1960 to 08-08-1960,1,
05-08-1960 to 09-08-1960,1,
06-08-1960 to 10-08-1960,1,
07-08-1960 to 11-08-1960,1,
08-08-1960 to 12-08-1960,1,
09-08-1960 to 13-08-1960,1,
10-08-1960 to 14-08-1960,1,
11-08-1960 to 15-08-1960,1,
12-08-1960 to 16-08-1960,1,
13-08-1960 to 17-08-1960,0,
14-08-1960 to 18-08-1960,0,
15-08-1960 to 19-08-1960,0,
16-08-1960 to 20-08-1960,0,
17-08-1960 to 21-08-1960,0,
18-08-1960 to 22-08-1960,0,
19-08-1960 to 23-08-1960,0,
20-08-1960 to 24-08-1960,0,
21-08-1960 to 25-08-1960,0,
22-08-1960 to 26-08-1960,0,
23-08-1960 to 27-08-1960,0,
24-08-1960 to 28-08-1960,0,
25-08-1960 to 29-08-1960,0,
26-08-1960 to 30-08-1960,0,
27-08-1960 to 01-09-1960,0,
28-08-1960 to 02-09-1960,0,
29-08-1960 to 03-09-1960,0,
30-08-1960 to 04-09-1960,1,
27-05-1961 to 01-06-1961,0,
28-05-1961 to 02-06-1961,0,
29-05-1961 to 03-06-1961,0,
30-05-1961 to 04-06-1961,0,
01-06-1961 to 05-06-1961,0,
02-06-1961 to 06-06-1961,1,
03-06-1961 to 07-06-1961,0,
04-06-1961 to 08-06-1961,0,
05-06-1961 to 09-06-1961,0,
06-06-1961 to 10-06-1961,0,
07-06-1961 to 11-06-1961,0,
08-06-1961 to 12-06-1961,0,
09-06-1961 to 13-06-1961,0,
10-06-1961 to 14-06-1961,0,
11-06-1961 to 15-06-1961,0,
12-06-1961 to 16-06-1961,0,
13-06-1961 to 17-06-1961,0,
14-06-1961 to 18-06-1961,0,
15-06-1961 to 19-06-1961,0,
16-06-1961 to 20-06-1961,0,
17-06-1961 to 21-06-1961,0,
18-06-1961 to 22-06-1961,0,
19-06-1961 to 23-06-1961,0,
20-06-1961 to 24-06-1961,0,
21-06-1961 to 25-06-1961,0,
22-06-1961 to 26-06-1961,0,
23-06-1961 to 27-06-1961,0,
24-06-1961 to 28-06-1961,0,
25-06-1961 to 29-06-1961,0,
26-06-1961 to 30-06-1961,0,
27-06-1961 to 01-07-1961,0,
28-06-1961 to 02-07-1961,0,
29-06-1961 to 03-07-1961,0,
30-06-1961 to 04-07-1961,0,
01-07-1961 to 05-07-1961,0,
02-07-1961 to 06-07-1961,0,
03-07-1961 to 07-07-1961,0,
04-07-1961 to 08-07-1961,0,
05-07-1961 to 09-07-1961,0,
06-07-1961 to 10-07-1961,0,
07-07-1961 to 11-07-1961,0,
08-07-1961 to 12-07-1961,0,
09-07-1961 to 13-07-1961,0,
10-07-1961 to 14-07-1961,0,
11-07-1961 to 15-07-1961,0,
12-07-1961 to 16-07-1961,0,
13-07-1961 to 17-07-1961,0,
14-07-1961 to 18-07-1961,0,
15-07-1961 to 19-07-1961,0,
16-07-1961 to 20-07-1961,0,
17-07-1961 to 21-07-1961,0,
18-07-1961 to 22-07-1961,0,
19-07-1961 to 23-07-1961,0,
20-07-1961 to 24-07-1961,1,
21-07-1961 to 25-07-1961,0,
22-07-1961 to 26-07-1961,0,
23-07-1961 to 27-07-1961,0,
24-07-1961 to 28-07-1961,0,
25-07-1961 to 29-07-1961,0,
26-07-1961 to 30-07-1961,0,
27-07-1961 to 01-08-1961,0,
28-07-1961 to 02-08-1961,0,
29-07-1961 to 03-08-1961,0,
30-07-1961 to 04-08-1961,0,
01-08-1961 to 05-08-1961,0,
02-08-1961 to 06-08-1961,0,
03-08-1961 to 07-08-1961,0,
04-08-1961 to 08-08-1961,0,
05-08-1961 to 09-08-1961,0,
06-08-1961 to 10-08-1961,0,
07-08-1961 to 11-08-1961,0,
08-08-1961 to 12-08-1961,0,
09-08-1961 to 13-08-1961,0,
10-08-1961 to 14-08-1961,0,
11-08-1961 to 15-08-1961,0,
12-08-1961 to 16-08-1961,0,
13-08-1961 to 17-08-1961,0,
14-08-1961 to 18-08-1961,0,
15-08-1961 to 19-08-1961,0,
16-08-1961 to 20-08-1961,0,
17-08-1961 to 21-08-1961,0,
18-08-1961 to 22-08-1961,0,
19-08-1961 to 23-08-1961,0,
20-08-1961 to 24-08-1961,0,
21-08-1961 to 25-08-1961,0,
22-08-1961 to 26-08-1961,0,
23-08-1961 to 27-08-1961,0,
24-08-1961 to 28-08-1961,0,
25-08-1961 to 29-08-1961,0,
26-08-1961 to 30-08-1961,0,
27-08-1961 to 01-09-1961,0,
28-08-1961 to 02-09-1961,0,
29-08-1961 to 03-09-1961,0,
30-08-1961 to 04-09-1961,0,
27-05-1962 to 01-06-1962,1,
28-05-1962 to 02-06-1962,1,
29-05-1962 to 03-06-1962,1,
30-05-1962 to 04-06-1962,1,
01-06-1962 to 05-06-1962,1,
02-06-1962 to 06-06-1962,1,
03-06-1962 to 07-06-1962,1,
04-06-1962 to 08-06-1962,1,
05-06-1962 to 09-06-1962,0,
06-06-1962 to 10-06-1962,0,
07-06-1962 to 11-06-1962,0,
08-06-1962 to 12-06-1962,0,
09-06-1962 to 13-06-1962,0,
10-06-1962 to 14-06-1962,0,
11-06-1962 to 15-06-1962,0,
12-06-1962 to 16-06-1962,0,
13-06-1962 to 17-06-1962,0,
14-06-1962 to 18-06-1962,0,
15-06-1962 to 19-06-1962,0,
16-06-1962 to 20-06-1962,0,
17-06-1962 to 21-06-1962,0,
18-06-1962 to 22-06-1962,1,
19-06-1962 to 23-06-1962,0,
20-06-1962 to 24-06-1962,0,
21-06-1962 to 25-06-1962,0,
22-06-1962 to 26-06-1962,0,
23-06-1962 to 27-06-1962,0,
24-06-1962 to 28-06-1962,0,
25-06-1962 to 29-06-1962,0,
26-06-1962 to 30-06-1962,0,
27-06-1962 to 01-07-1962,0,
28-06-1962 to 02-07-1962,0,
29-06-1962 to 03-07-1962,0,
30-06-1962 to 04-07-1962,0,
01-07-1962 to 05-07-1962,0,
02-07-1962 to 06-07-1962,0,
03-07-1962 to 07-07-1962,0,
04-07-1962 to 08-07-1962,0,
05-07-1962 to 09-07-1962,0,
06-07-1962 to 10-07-1962,0,
07-07-1962 to 11-07-1962,0,
08-07-1962 to 12-07-1962,0,
09-07-1962 to 13-07-1962,0,
10-07-1962 to 14-07-1962,0,
11-07-1962 to 15-07-1962,0,
12-07-1962 to 16-07-1962,0,
13-07-1962 to 17-07-1962,0,
14-07-1962 to 18-07-1962,0,
15-07-1962 to 19-07-1962,0,
16-07-1962 to 20-07-1962,0,
17-07-1962 to 21-07-1962,0,
18-07-1962 to 22-07-1962,0,
19-07-1962 to 23-07-1962,0,
20-07-1962 to 24-07-1962,0,
21-07-1962 to 25-07-1962,0,
22-07-1962 to 26-07-1962,0,
23-07-1962 to 27-07-1962,0,
24-07-1962 to 28-07-1962,0,
25-07-1962 to 29-07-1962,0,
26-07-1962 to 30-07-1962,0,
27-07-1962 to 01-08-1962,0,
28-07-1962 to 02-08-1962,0,
29-07-1962 to 03-08-1962,0,
30-07-1962 to 04-08-1962,0,
01-08-1962 to 05-08-1962,0,
02-08-1962 to 06-08-1962,0,
03-08-1962 to 07-08-1962,0,
04-08-1962 to 08-08-1962,0,
05-08-1962 to 09-08-1962,0,
06-08-1962 to 10-08-1962,1,
07-08-1962 to 11-08-1962,0,
08-08-1962 to 12-08-1962,0,
09-08-1962 to 13-08-1962,0,
10-08-1962 to 14-08-1962,0,
11-08-1962 to 15-08-1962,0,
12-08-1962 to 16-08-1962,0,
13-08-1962 to 17-08-1962,0,
14-08-1962 to 18-08-1962,0,
15-08-1962 to 19-08-1962,0,
16-08-1962 to 20-08-1962,0,
17-08-1962 to 21-08-1962,0,
18-08-1962 to 22-08-1962,0,
19-08-1962 to 23-08-1962,0,
20-08-1962 to 24-08-1962,0,
21-08-1962 to 25-08-1962,0,
22-08-1962 to 26-08-1962,0,
23-08-1962 to 27-08-1962,0,
24-08-1962 to 28-08-1962,0,
25-08-1962 to 29-08-1962,0,
26-08-1962 to 30-08-1962,0,
27-08-1962 to 01-09-1962,0,
28-08-1962 to 02-09-1962,0,
29-08-1962 to 03-09-1962,0,
30-08-1962 to 04-09-1962,0,
27-05-1963 to 01-06-1963,0,
28-05-1963 to 02-06-1963,0,
29-05-1963 to 03-06-1963,0,
30-05-1963 to 04-06-1963,0,
01-06-1963 to 05-06-1963,0,
02-06-1963 to 06-06-1963,0,
03-06-1963 to 07-06-1963,0,
04-06-1963 to 08-06-1963,0,
05-06-1963 to 09-06-1963,0,
06-06-1963 to 10-06-1963,0,
07-06-1963 to 11-06-1963,0,
08-06-1963 to 12-06-1963,0,
09-06-1963 to 13-06-1963,0,
10-06-1963 to 14-06-1963,0,
11-06-1963 to 15-06-1963,0,
12-06-1963 to 16-06-1963,0,
13-06-1963 to 17-06-1963,1,
14-06-1963 to 18-06-1963,1,
15-06-1963 to 19-06-1963,1,
16-06-1963 to 20-06-1963,1,
17-06-1963 to 21-06-1963,1,
18-06-1963 to 22-06-1963,0,
19-06-1963 to 23-06-1963,0,
20-06-1963 to 24-06-1963,0,
21-06-1963 to 25-06-1963,0,
22-06-1963 to 26-06-1963,0,
23-06-1963 to 27-06-1963,0,
24-06-1963 to 28-06-1963,0,
25-06-1963 to 29-06-1963,0,
26-06-1963 to 30-06-1963,0,
27-06-1963 to 01-07-1963,0,
28-06-1963 to 02-07-1963,0,
29-06-1963 to 03-07-1963,0,
30-06-1963 to 04-07-1963,0,
01-07-1963 to 05-07-1963,0,
02-07-1963 to 06-07-1963,0,
03-07-1963 to 07-07-1963,0,
04-07-1963 to 08-07-1963,0,
05-07-1963 to 09-07-1963,0,
06-07-1963 to 10-07-1963,0,
07-07-1963 to 11-07-1963,0,
08-07-1963 to 12-07-1963,0,
09-07-1963 to 13-07-1963,0,
10-07-1963 to 14-07-1963,0,
11-07-1963 to 15-07-1963,0,
12-07-1963 to 16-07-1963,0,
13-07-1963 to 17-07-1963,0,
14-07-1963 to 18-07-1963,0,
15-07-1963 to 19-07-1963,0,
16-07-1963 to 20-07-1963,0,
17-07-1963 to 21-07-1963,0,
18-07-1963 to 22-07-1963,0,
19-07-1963 to 23-07-1963,0,
20-07-1963 to 24-07-1963,0,
21-07-1963 to 25-07-1963,0,
22-07-1963 to 26-07-1963,0,
23-07-1963 to 27-07-1963,0,
24-07-1963 to 28-07-1963,0,
25-07-1963 to 29-07-1963,0,
26-07-1963 to 30-07-1963,0,
27-07-1963 to 01-08-1963,0,
28-07-1963 to 02-08-1963,0,
29-07-1963 to 03-08-1963,0,
30-07-1963 to 04-08-1963,0,
01-08-1963 to 05-08-1963,0,
02-08-1963 to 06-08-1963,0,
03-08-1963 to 07-08-1963,0,
04-08-1963 to 08-08-1963,0,
05-08-1963 to 09-08-1963,0,
06-08-1963 to 10-08-1963,0,
07-08-1963 to 11-08-1963,0,
08-08-1963 to 12-08-1963,0,
09-08-1963 to 13-08-1963,0,
10-08-1963 to 14-08-1963,0,
11-08-1963 to 15-08-1963,0,
12-08-1963 to 16-08-1963,0,
13-08-1963 to 17-08-1963,0,
14-08-1963 to 18-08-1963,0,
15-08-1963 to 19-08-1963,0,
16-08-1963 to 20-08-1963,0,
17-08-1963 to 21-08-1963,0,
18-08-1963 to 22-08-1963,0,
19-08-1963 to 23-08-1963,0,
20-08-1963 to 24-08-1963,0,
21-08-1963 to 25-08-1963,0,
22-08-1963 to 26-08-1963,1,
23-08-1963 to 27-08-1963,0,
24-08-1963 to 28-08-1963,0,
25-08-1963 to 29-08-1963,0,
26-08-1963 to 30-08-1963,0,
27-08-1963 to 01-09-1963,0,
28-08-1963 to 02-09-1963,0,
29-08-1963 to 03-09-1963,0,
30-08-1963 to 04-09-1963,0,
27-05-1964 to 01-06-1964,0,
28-05-1964 to 02-06-1964,0,
29-05-1964 to 03-06-1964,0,
30-05-1964 to 04-06-1964,1,
01-06-1964 to 05-06-1964,1,
02-06-1964 to 06-06-1964,1,
03-06-1964 to 07-06-1964,1,
04-06-1964 to 08-06-1964,0,
05-06-1964 to 09-06-1964,0,
06-06-1964 to 10-06-1964,0,
07-06-1964 to 11-06-1964,0,
08-06-1964 to 12-06-1964,0,
09-06-1964 to 13-06-1964,0,
10-06-1964 to 14-06-1964,0,
11-06-1964 to 15-06-1964,0,
12-06-1964 to 16-06-1964,0,
13-06-1964 to 17-06-1964,0,
14-06-1964 to 18-06-1964,0,
15-06-1964 to 19-06-1964,0,
16-06-1964 to 20-06-1964,0,
17-06-1964 to 21-06-1964,0,
18-06-1964 to 22-06-1964,0,
19-06-1964 to 23-06-1964,0,
20-06-1964 to 24-06-1964,0,
21-06-1964 to 25-06-1964,0,
22-06-1964 to 26-06-1964,0,
23-06-1964 to 27-06-1964,0,
24-06-1964 to 28-06-1964,0,
25-06-1964 to 29-06-1964,0,
26-06-1964 to 30-06-1964,0,
27-06-1964 to 01-07-1964,0,
28-06-1964 to 02-07-1964,0,
29-06-1964 to 03-07-1964,0,
30-06-1964 to 04-07-1964,0,
01-07-1964 to 05-07-1964,0,
02-07-1964 to 06-07-1964,0,
03-07-1964 to 07-07-1964,1,
04-07-1964 to 08-07-1964,0,
05-07-1964 to 09-07-1964,0,
06-07-1964 to 10-07-1964,0,
07-07-1964 to 11-07-1964,0,
08-07-1964 to 12-07-1964,0,
09-07-1964 to 13-07-1964,0,
10-07-1964 to 14-07-1964,0,
11-07-1964 to 15-07-1964,0,
12-07-1964 to 16-07-1964,0,
13-07-1964 to 17-07-1964,0,
14-07-1964 to 18-07-1964,0,
15-07-1964 to 19-07-1964,0,
16-07-1964 to 20-07-1964,0,
17-07-1964 to 21-07-1964,0,
18-07-1964 to 22-07-1964,0,
19-07-1964 to 23-07-1964,0,
20-07-1964 to 24-07-1964,0,
21-07-1964 to 25-07-1964,0,
22-07-1964 to 26-07-1964,0,
23-07-1964 to 27-07-1964,0,
24-07-1964 to 28-07-1964,0,
25-07-1964 to 29-07-1964,0,
26-07-1964 to 30-07-1964,0,
27-07-1964 to 01-08-1964,0,
28-07-1964 to 02-08-1964,0,
29-07-1964 to 03-08-1964,0,
30-07-1964 to 04-08-1964,0,
01-08-1964 to 05-08-1964,0,
02-08-1964 to 06-08-1964,0,
03-08-1964 to 07-08-1964,0,
04-08-1964 to 08-08-1964,0,
05-08-1964 to 09-08-1964,0,
06-08-1964 to 10-08-1964,0,
07-08-1964 to 11-08-1964,0,
08-08-1964 to 12-08-1964,0,
09-08-1964 to 13-08-1964,0,
10-08-1964 to 14-08-1964,0,
11-08-1964 to 15-08-1964,0,
12-08-1964 to 16-08-1964,0,
13-08-1964 to 17-08-1964,0,
14-08-1964 to 18-08-1964,0,
15-08-1964 to 19-08-1964,0,
16-08-1964 to 20-08-1964,0,
17-08-1964 to 21-08-1964,0,
18-08-1964 to 22-08-1964,0,
19-08-1964 to 23-08-1964,0,
20-08-1964 to 24-08-1964,0,
21-08-1964 to 25-08-1964,0,
22-08-1964 to 26-08-1964,0,
23-08-1964 to 27-08-1964,0,
24-08-1964 to 28-08-1964,0,
25-08-1964 to 29-08-1964,0,
26-08-1964 to 30-08-1964,0,
27-08-1964 to 01-09-1964,0,
28-08-1964 to 02-09-1964,0,
29-08-1964 to 03-09-1964,0,
